number,date_or_origin,name,theorem,source_path,line,upstream_status,in_local_allowlist,summary,url,formalization_review,independent_status_review,admission_ready,audit_note,audit_date,disposition,external_sources,source_compile_pass,statement_has_sorry,statement_dependency_axioms,declaration_axioms,elaborated_type_pretty_sha256,requires_source_pin_fix
28,1911,Inscribed square problem,InscribedSquare.inscribed_square_problem,FormalConjectures/Wikipedia/InscribedSquare.lean,57,research open,False,Does every Jordan curve contain the four vertices of a square?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/InscribedSquare.lean#L57,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open for arbitrary Jordan curves. The June 2026 peer-reviewed result for curves between two graphs does not cover every continuous embedded circle.,False,"Embedding of Circle into the Euclidean plane enforces a Jordan curve. Midpoint/diagonal conditions and side inequalities specify a nondegenerate rectangle, with ratio one giving a square. The selected statement imposes no smoothness shortcut.",2026-09-21,retain_provisionally_open,"[""https://ems.press/journals/cmh/articles/14299791""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",3e16bf2d986cb4f6262cbc3bfafd7c29a9c4d481d05978f239b62b6bb1e888e6,False
29,1912 Landau list; older roots,Infinitely many primes n²+1,PrimesAndPerfectSquares.infinite_prime_sq_add_one,FormalConjectures/Wikipedia/PrimesAndPerfectSquares.lean,35,research open,False,Are infinitely many values n²+1 prime?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/PrimesAndPerfectSquares.lean#L35,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. Large-prime-factor results for n²+h do not show that n²+1 itself is prime infinitely often.,False,"Infinitely many natural n with n²+1 prime, equivalent to infinitely many distinct such prime values. This is Landau's polynomial-prime problem, not a bounded or almost-prime variant.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2505.00493"", ""https://dms.umontreal.ca/~andrew/PDF/ItalySurvey.pdf""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",e8a0e39747aa04e86b39dcffd8017c767dca18f0bdc7905d92a9cbcf3599f9e2,False
30,c. 1915 sharp-bound formulation,Gauss circle error bound,GaussCircleProblem.error_isBigO,FormalConjectures/Wikipedia/GaussCircleProblem.lean,92,research open,False,Is the lattice-point counting error O(r^(1/2+o(1)))?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/GaussCircleProblem.lean#L92,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. A September 2026 research preprint explicitly describes the sharp Gauss-circle bound as unresolved and reports numerical experiments.,False,"Counts integer lattice points in a closed radius-r disk and subtracts πr². Existence of an o(1) exponent is mathematically equivalent to O(r^(1/2+ε)) for every ε>0 by a diagonal-threshold argument. This bridge was reasoned manually, not formalized here.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2609.04725""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",b674ebcaedb1cea71e4721be50e8a4cb5821725e936ad7c1d61a922788814600,False
31,1917,Goormaghtigh conjecture,Goormaghtigh.goormaghtigh_conjecture,FormalConjectures/Wikipedia/Goormaghtigh.lean,50,research open,False,Are 31 and 8191 the only repunits of at least three digits in two distinct bases?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Goormaghtigh.lean#L50,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The large finite bound for Goormaghtigh primes concerns prime common repunit values and does not classify all composite values or the unbounded problem.,False,"Bases are distinct and at least two; both repunit lengths are at least three. The selected statement classifies common values as 31 and 8191, including composite values in its quantification.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2410.03677"", ""https://arxiv.org/abs/2505.08160""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",b97523becd252a734ef2fe4b9e6f7ee40ad0eb61f6b22aad5533aee0968d0a4f,False
32,1923,First Hardy–Littlewood conjecture,HardyLittlewood.first_hardy_littlewood_conjecture,FormalConjectures/Wikipedia/HardyLittlewood.lean,94,research open,False,Does the predicted asymptotic formula count admissible prime constellations?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/HardyLittlewood.lean#L94,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"Retain as open. This is the full prime-tuples asymptotic, not a bounded-gap theorem. An open upstream product-convergence complaint was examined but is not substantiated for the current distinct-offset formulation; see the detailed analysis in AUDIT.md.",False,"NEW snapshot uses asymptotic equivalence and injective offsets. The verifier pin instead uses big-O and permits duplicate offsets: confirmed misformalization. For distinct r offsets, large-prime factors are 1+O(1/q²), so the alleged general conditional-product problem does not apply automatically.",2026-09-21,retain_provisionally_open,"[""https://terrytao.wordpress.com/2014/02/07/new-equidistribution-estimates-of-zhang-type-and-bounded-gaps-between-primes-and-a-retrospective/"", ""https://github.com/google-deepmind/formal-conjectures/issues/5907"", ""https://github.com/google-deepmind/formal-conjectures/issues/4996""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",b05c34560e0b7ab4ea4ac8d8e3b718835929d9a01c7c3eb7061876606ee8ca57,True
33,1923,Second Hardy–Littlewood conjecture,HardyLittlewood.second_hardy_littlewood_conjecture,FormalConjectures/Wikipedia/HardyLittlewood.lean,112,research open,False,"Does π(x+y)≤π(x)+π(y) hold for integers x,y≥2?",https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/HardyLittlewood.lean#L112,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"Retain as unresolved. A 2026 Acta Arithmetica paper proves restricted ranges, not the full inequality. Expected falsity is compatible with open status.",False,"π(x+y)≤π(x)+π(y) for natural x,y≥2. This conjecture is incompatible with Hardy–Littlewood I; do not assume both as trusted lemmas or present both as necessarily true.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2503.02766"", ""https://www.impan.pl/en/publishing-house/journals-and-series/acta-arithmetica/online/116375/on-the-second-hardy-littlewood-conjecture""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",ffac7a3499bf29f0a7241981cf6aa8af380a16a939b95f5af53f900984bd3385,False
34,1927,Artin primitive-root conjecture,ArtinPrimitiveRootsConjecture.artin_primitive_roots.parts.i,FormalConjectures/Wikipedia/ArtinPrimitiveRootsConjecture.lean,120,research open,False,Does every eligible integer generate the multiplicative group modulo a positive proportion of primes?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/ArtinPrimitiveRootsConjecture.lean#L120,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open unconditionally. Conditional proofs and density formulae under suitable GRH hypotheses do not prove the selected unconditional statement.,False,"Eligible integer a is neither a square nor -1. The target asks positive RELATIVE density among primes, not positive density among all integers. orderOf in ZMod expresses primitive roots. A repaired neighboring GRH formulation is not an assumption of this selected theorem.",2026-09-21,retain_provisionally_open,"[""https://guests.mpim-bonn.mpg.de/moree/artinsurveysmallfont.pdf"", ""https://arxiv.org/abs/1112.4816""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",6ebe23f328e7b55d96d42614319f6588a10b3854627b9eab29e408185ae3974d,False
35,1930,Köthe conjecture,Koethe.KotheConjecture,FormalConjectures/Wikipedia/Koethe.lean,53,research open,False,Is the sum of two nil left ideals always nil?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Koethe.lean#L53,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"REMOVE from an open-problem list: September 2026 counterexample papers refute Köthe, with a public Lean disproof of the equivalent matrix formulation. Strong corroboration exceeds a lone proof claim, but this audit did not independently replay that external proof repository.",False,The sum of two nil LEFT ideals in an arbitrary unital ring is the intended statement. The matrix counterexample bridges to it using two column left ideals. The source research-open label is stale; no formalization defect is needed to explain the resolution.,2026-09-21,remove_resolved,"[""https://arxiv.org/abs/2609.07996"", ""https://arxiv.org/abs/2609.15080"", ""https://github.com/tadamcz/koethe""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",93841caba772e2256556fc7fcb4f4508f27ab73d2da1e11e92c15c4c75f96686,False
36,1932,Lehmer totient problem,LehmerTotient.lehmer_totient,FormalConjectures/Wikipedia/LehmerTotient.lean,35,research open,False,Can a composite n satisfy φ(n) dividing n−1?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/LehmerTotient.lean#L35,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The January 2026 purported short proof is explicitly withdrawn; a February 2026 INTEGERS paper still investigates the unresolved problem.,False,Asks whether there exists composite n>1 with φ(n) dividing n−1. True means a counterexample to the usual nonexistence conjecture. Label the yes/no task by existence rather than reversing its expected answer.,2026-09-21,retain_provisionally_open,"[""https://www.preprints.org/manuscript/202601.1141"", ""https://math.colgate.edu/~integers/aa33/aa33.pdf""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",9eb6bce27c3bbabf2b11f54af876c26facb3d521e5fee3335e6208e16666e3ee,False
37,1933,Lehmer Mahler-measure problem,LehmerMahlerMeasureProblem.lehmer_mahler_measure_problem,FormalConjectures/Wikipedia/LehmerMahlerMeasureProblem.lean,47,research open,False,Is there a uniform gap above 1 for Mahler measures of integer polynomials?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/LehmerMahlerMeasureProblem.lean#L47,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open in the sources examined. The status basis includes an older specialist survey; no established resolution was located in the current search.,False,"Mahler measure uses complex roots with multiplicity and the leading-coefficient norm. The selected problem is existence of a uniform gap above one for integer polynomials, not the stronger claim that Lehmer's specific polynomial attains the optimum.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/math/0701397"", ""https://www.maths.ed.ac.uk/~chris/papers/Smyth240707.pdf""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",629f0783dbe9165bda32bb6fcc8d64b1e9044392644dce081f8796709b91f68c,False
38,1933,Borsuk problem in dimension four,Borsuk.borsuk_conjecture.four,FormalConjectures/Wikipedia/BorsukConjecture.lean,111,research open,False,Can every bounded nontrivial set in R⁴ be partitioned into five sets of smaller diameter?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/BorsukConjecture.lean#L111,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain the dimension-four case as open. A May 2026 preprint improves an upper bound to eight; the selected target asks five. High-dimensional counterexamples do not settle dimension four.,False,NEW Borsuk definition requires a bounded nontrivial set and uses extended diameter. This avoids the old Metric.diam convention assigning zero to unbounded sets. Cover by at most five smaller sets converts to a partition by intersections and differences; old Erdős 505 code is not a safe substitute.,2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2605.19068""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",cb72989c98ce9d1c39ee8b5d9b4541a3e13360fb3a0e68831013dd0f5e91290a,True
39,1935,Erdős–Szekeres convex-polygon conjecture,Erdos107.erdos_107,FormalConjectures/ErdosProblems/107.lean,50,research open,False,Is the exact threshold for forcing a convex n-gon 2^(n−2)+1?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/ErdosProblems/107.lean#L50,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The current Erdős Problems entry distinguishes the exact 2^(n−2)+1 threshold from known asymptotic results.,False,No-three-collinear general position and convex-independent subsets express the intended planar problem. n≥3 is correct. Natural sInf is meaningful using the classical existence of a finite Erdős–Szekeres threshold; that existence bridge was not re-proved here.,2026-09-21,retain_provisionally_open,"[""https://www.erdosproblems.com/107""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",9e833f62767145db1b273d12dccbdd31849ea25fd1477ef5078336dd4da2278f,False
40,1937,Scholz addition-chain conjecture,ScholzConjecture.scholz_conjecture,FormalConjectures/Wikipedia/ScholzConjecture.lean,44,research open,False,Is ℓ(2^n−1)≤n−1+ℓ(n) for every positive n?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/ScholzConjecture.lean#L44,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"HOLD: an August 17, 2026 author-uploaded paper claims the full Scholz inequality. Earlier infinite-subfamily results do not settle it. This audit did not establish acceptance or validate the complete new proof.",False,"Addition chains begin at one and increase strictly. Summands are drawn from the list, but positivity forces both to precede the element they sum to. Positive n avoids the zero edge case; chains exist via 1,2,…,n, justifying the minimum-length interpretation.",2026-09-21,hold_recent_claim,"[""https://www.researchgate.net/publication/412298449_THE_SCHOLZ_CONJECTURE_VIA_A_MULTI-STEP_OPTIMIZATION"", ""https://arxiv.org/abs/2210.13812"", ""https://arxiv.org/abs/2302.02143""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",5c8edc02c9264975a4c0127349cd6d36e518cb1dbf9ec4c14bab189aba9f3ef3,False
